del;area;pop_t;pop_urb;mig_out;mig_in
TS1110;14;20715;20715;2379;3265
TS1111;2;26703;4733;42243;2771
TS1112;4;39806;39806;12701;6812
TS1113;3;33284;33284;7199;2548
TS1114;7;40801;40801;4446;3645
TS1115;10;62138;62138;6375;8805
TS1116;2;21956;21956;2758;3790
TS1117;11;43320;43320;6856;5995
TS1118;29;36818;36818;4073;6755
TS1119;13;70244;70244;12838;8507
TS111A;5;36171;36171;4285;1944
TS111B;4;40434;40434;667;1052
TS111C;55;96245;96245;3513;10600
TS111D;86;79381;79381;1699;10625
TS111E;15;33734;33734;6430;2356
TS111F;4;81261;81261;3153;10131
TS111G;4;29911;29911;2778;3246
TS111H;4;26490;26490;2285;1550
TS111I;11;28407;28407;2765;3981
TS111J;18;58152;58152;3212;7522
TS111K;46;77890;77890;5026;7386
TS1120;18;97687;97687;15426;16961
TS1121;37;89151;89151;2832;19129
TS1122;58;60896;53911;1443;14053
TS1123;240;23045;15313;528;728
TS1124;106;19404;8909;723;1298
TS1125;8;78311;78311;5245;5651
TS1126;32;53752;40176;985;7258
TS1130;8;32329;32329;9381;3963
TS1131;8;42603;42603;2295;6070
TS1132;13;81986;81986;5773;21829
TS1133;14;38401;38401;4802;3130
TS1134;13;24847;24847;1551;4997
TS1135;12;27977;27977;1135;5831
TS1136;17;31792;31792;3991;5508
TS1137;20;44857;44857;3708;7221
TS1138;9;24031;24031;2872;1880
TS1139;170;46613;40662;2327;6451
TS113A;65;56628;33958;2695;8910
TS113B;412;53709;33137;1836;3515
TS1140;11;51398;51398;9466;7033
TS1141;1;75959;75535;1518;7514
TS1142;75;58544;47614;2109;6450
TS1143;273;35129;13691;1352;2806
TS1144;136;16184;5556;892;842
TS1145;146;40327;24746;1638;2445
TS1146;262;41050;24175;2294;1628
TS1147;157;17321;5761;444;716
TS1150;68;59490;56387;7360;4838
TS1151;65;39477;35859;1099;3406
TS1152;87;35565;29898;937;2055
TS1153;202;60564;42420;1600;2060
TS1154;289;59463;39326;2285;1387
TS1155;128;23667;3437;722;650
TS1156;112;53648;48210;2242;2815
TS1157;79;14324;11998;566;632
TS1158;324;39378;9273;1460;955
TS1159;269;20169;20169;692;552
TS115A;103;41846;32611;1432;3729
TS115B;147;33599;15670;1278;876
TS115C;139;33897;19943;940;1944
TS115D;309;55489;18856;2064;3310
TS115E;143;27846;10311;743;1028
TS115F;323;95468;63116;3027;5265
TS1160;329;34367;16037;3201;2189
TS1161;356;20765;9002;544;940
TS1162;649;21508;11033;766;1638
TS1163;916;43678;19315;2117;1523
TS1164;340;28550;5027;1030;610
TS1165;178;12095;1200;307;280
TS1170;49;75234;71492;9488;4478
TS1171;88;24428;24428;1349;3858
TS1172;426;45227;18451;1058;2293
TS1173;627;42156;4737;1904;754
TS1174;563;35213;1200;1605;739
TS1175;582;47562;31345;3481;2108
TS1176;464;27799;1200;912;522
TS1177;111;54804;47742;3592;1488
TS1178;42;19444;17454;269;1368
TS1179;383;18266;1200;625;499
TS117A;120;18525;8998;483;544
TS117B;88;39691;35168;853;3107
TS117C;83;24539;16819;599;936
TS117D;60;51240;42762;1002;1703
TS1210;414;67471;44179;8280;3213
TS1211;362;38396;20188;1585;2273
TS1212;240;22484;4960;1093;675
TS1213;557;53195;6039;3425;1031
TS1214;364;24327;10987;1456;631
TS1215;146;10509;1200;559;295
TS1216;628;32772;12732;1599;1170
TS1217;383;16383;3741;643;420
